,Quarter,Banks,R. Infrastructure_nan,R.a Transport (a.1 to a.8)_nan,R.a.5 Railways_nan,R.a.6 Urban Public Transport (except rolling stock in case of urban road transport)_nan,R.a.7 Shipyards_nan,R.a.8 Logistics Infrastructure_nan,R.b.1.1 Central Govt PSUs_nan,R.b. Energy (b.1 to b.6)_nan, R.b.1 Electricity Generation_nan,R.b.2.1 Central Govt PSUs_nan,R.b.2.2 State Electricity Boards_nan,R.b.2 Electricity Transmission_nan,R.b.2.2 Others_nan,R.b.3.1 Central Govt PSUs_nan,R.b.3.2 State Govt PSUs (incl. SEBs)_nan,R.b.3 Electricity Distribution_nan,R.b.4 Oil (storage and pipeline)_nan,R.b.5 Oil/Gas/Liquefied Natural Gas (LNG) storage facility_nan,R.b.6 Others_nan,R.c.1 Solid Waste Management_nan,R.c. Water and Sanitation (c.1 to c.7)_nan,R.c.3 Water treatment plants_nan,R.c.4 Water sanitation_nan,"R.c.5 Irrigation (dams, channels, embankments etc)_nan",R.c.6 Storm Water Drainage System_nan,R.c.7 Slurry Pipelines_nan,"R.d. Communication (d.1 to
d.3)_nan",R.d.2 Telecommunication towers_nan,R.e. Social and Commercial Infrastructure (e.1 to e.12)_nan,R.e.1 Education Institutions (capital stock)_nan,R.e.2 Hospitals (capital stock)_nan,R.e.3 Tourism - Three-star or higher category classified hotels located outside cities with population of more than 1 million_nan,R.e.4 Social &amp; Commercial Infrastructure_nan,R.e.5 Fertilizer (Capital investment)_nan,R.e.6 Post harvest storage infrastructure for agriculture and horticultural produce including cold storage_nan,R.e.7 Terminal markets_nan,R.e.8 Soil-testing laboratories_nan,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
74,2012Q3,STATE BANK OF INDIA,530718100000,18697000000,0,18697000000,,,,511345500000,20987100000,,20987100000,490358400000,490358400000,,,0,0,0,0,,675600000,,675600000,,,,13196333000,13196333000,0,,,,0,,,,,0,0,1,0
75,2012Q3,STATE BANK OF MYSORE,28597856000,0,0,0,,,,28597856000,0,,0,13298540000,13298540000,,,15299316000,0,0,15299316000,,0,,0,,,,8474000,8474000,0,,,,0,,,,,0,0,1,0
76,2012Q3,STATE BANK OF PATIALA,88373100000,41161600000,0,41161600000,,,,47211500000,27153000000,,27153000000,20058500000,20058500000,,,0,0,0,0,,0,,0,,,,16242422000,16242422000,0,,,,0,,,,,0,0,1,0
77,2012Q3,STATE BANK OF TRAVANCORE,35931442000,1464925000,0,1464925000,,,,31349212000,5635521000,,5635521000,24067157000,24067157000,,,1646534000,586260000,1060274000,0,,0,,0,,,,,,3117305000,,,,3117305000,,,,,0,0,1,0
78,2012Q3,SYNDICATE BANK,60025700000,281500000,281500000,0,,,,59744200000,17613400000,,17613400000,37052300000,37052300000,,,5078500000,0,5078500000,0,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
79,2012Q3,UCO BANK,130354100000,14355200000,0,14355200000,,,,115998900000,25190500000,,25190500000,31584000000,31584000000,,,59224400000,0,0,59224400000,,0,,0,,,,,,0,,,,0,,,,,0,0,1,0
80,2012Q3,UNION BANK OF INDIA,200552400000,0,0,0,,,,199541700000,117164600000,,117164600000,79550600000,79550600000,,,2826500000,1071700000,1754800000,0,,1010700000,,1010700000,,,,,,0,,,,0,,,,,0,0,1,0
81,2012Q3,UNITED BANK OF INDIA,103112800000,22071700000,0,22071700000,,,,81041100000,0,,0,81041100000,81041100000,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,0,0,1,0
82,2012Q3,VIJAYA BANK,142027487000,0,0,0,,,,142027487000,0,,0,142027487000,142027487000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,0,0,1,0
83,2012Q4,AB BANK LIMITED,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
